year,country,no,name,position,side,height,weight,birth,club,age,cohort,bmi
2001,RUS,10,tverdovsky oleg ,D,L,185,84.0,1976-05-18,anaheim mighty ducks ,24.952772073922,1976,24.543462381300202
2001,RUS,2,vichnevsky vitali ,D,L,188,86.0,1980-03-18,anaheim mighty ducks ,21.119780971937,1980,24.3322770484382
2001,RUS,26,petrochinin evgeni ,D,L,182,95.0,1976-02-07,severstal cherepovetal ,25.229295003422298,1976,28.6801110976935
2001,RUS,28,zhdan alexander ,D,R,178,85.0,1971-08-28,ak bars kazan ,29.6755646817248,1971,26.827420780204502
2001,RUS,32,orekhovsky oleg ,D,R,175,88.0,1977-11-03,dynamo moscow ,23.490759753593398,1977,28.734693877551
2001,RUS,4,zhukov sergei ,D,L,193,93.0,1975-11-23,lokomotiv yaroslavl ,25.4373716632444,1975,24.967113211092897
2001,RUS,6,evstafiev andrei ,D,L,176,84.0,1972-08-09,lokomotiv yaroslavl ,28.72553045859,1972,27.117768595041298
2001,RUS,7,krasotkin dmitri ,D,L,183,91.0,1971-08-28,lokomotiv yaroslavl ,29.6755646817248,1971,27.1731016154558
2001,RUS,13,razin andrei ,F,L,180,85.0,1973-10-23,metallurg magnitogorsk ,27.520876112251898,1973,26.234567901234602
2001,RUS,14,datsyuk pavel ,F,L,178,86.0,1978-07-20,ak bars kazan ,22.7816563997262,1978,27.1430374952657
2001,RUS,16,kuznetsov yuri ,F,L,187,93.0,1971-08-10,metallurg magnitogorsk ,29.724845995893197,1971,26.5949841287998
2001,RUS,18,but anton ,F,R,185,80.0,1980-07-03,lokomotiv yaroslavl ,20.8268309377139,1980,23.3747260774288
2001,RUS,19,yashin alexei ,F,R,198,95.0,1973-11-05,ottawa senators ,27.4852840520192,1973,24.2322212019182
2001,RUS,21,kharitonov alexander ,F,L,175,77.0,1976-03-30,tampa bay lightning ,25.086926762491398,1976,25.142857142857103
2001,RUS,22,golts alexander ,F,L,178,75.0,1972-03-12,metallurg magnitogorsk ,29.1362080766598,1972,23.6712536295922
2001,RUS,23,prokopiev alexander ,F,R,181,85.0,1971-06-10,avangard omsk ,29.8918548939083,1971,25.9454839595861
2001,RUS,25,arkhipov denis ,F,L,194,95.0,1979-05-19,nashville predators ,21.9520876112252,1979,25.241789775746604
2001,RUS,27,gusmanov ravil ,F,L,186,87.0,1972-07-25,metallurg magnitogorsk ,28.766598220397,1972,25.147415886229602
2001,RUS,29,kuvaldin alexander ,F,L,184,86.0,1974-03-16,dynamo moscow ,27.1266255989049,1974,25.4017013232514
2001,RUS,44,karpov valeri ,F,L,178,92.0,1971-08-05,lada togliatti ,29.738535249828896,1971,29.0367377856331
2001,RUS,94,korolyuk alexander ,F,L,175,90.0,1976-01-15,san jose sharks ,25.2922655715264,1976,29.387755102040803
2001,RUS,1,khlopotnov denis ,G,L,187,86.0,1978-01-27,cska moscow ,23.258042436687198,1978,24.5932111298579
2001,RUS,31,sokolov maxim ,G,L,180,75.0,1972-05-27,severstal cherepovetal ,28.9281314168378,1972,23.148148148148103
2001,RUS,35,shatalenkov mikhail ,G,L,188,84.0,1965-10-20,dynamo moscow ,35.529089664613295,1965,23.766410140335
2001,AUT,28,kasper peter ,D,R,182,88.0,1974-12-20,innsbruck ,26.362765229295,1974,26.566839753652896
2001,AUT,30,hohenberger herbert ,D,R,182,88.0,1969-02-08,augsburger panthers ,32.2245037645448,1969,26.566839753652896
